DAY,DATE/TIME,LOCATION,INVOLVED/ESTABLISHMENT NAME/OWNER/s-OCCUPANT/S,CAUSE/ORIGIN of FIRE/NATURE OF CASE,LEVEL OF ALARM,KILLED,INJURED, FAI's ,STATUS of CASE/AMOUNT of DAMAGE/                              FAI-on-Case
SA,14 May 2022                       0420H,"1831 Dian St., Brgy Palanan, Makati City",2-Storey Residential-_Single and Two Family Dwelling/                                                          ,"Arson  (P.D. 1613)                                  Filed on 16 May 2022 at the Office of the City Prosecutor, Makati City with NPS Docket No. XV-05-INV-22E 0497 INTENTIONAL FIRE BY USE OF OPEN FLAME (MATCHSTICK OR LIGHTER OR LIGHT TORCH)",,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"PHP 5,000.00"
SA,14 May 2022                       1316H,"Ricarte St., Brgy. South Cembo, Makati City",Non_Structural/Rubbish Fire/Vacant Area,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,PHP 0.00
SA,14 May 2022                       2335H,"4173 Gabaldon St.,Brgy. Poblacion, Makati City ",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
SU,15 May 2022                       1526H,"004 Durian St., Brgy. Pembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao//SFO1 Tuburan/FO3 Batalla,Php500.00
TU,17 May 2022                       1944H,"SM Cyber One #373 Gil Puyat cor. Jupiter St., Brgy. Bel-Air, Makati City",Non_Residential/Special Structure/,Other Causes of Fire Incident (Short Circuit)                                   Involved : Signage,,Negative,Negative,SFO3 Macacabayao//SFO1 Tuburan/FO3 Batalla,"Php1,000.00"
SU,22 May 2022                       1838H,"Yakal St., Brgy San Antonio, Makati City",Non_Structural/Rubbish Fire/Vacant Area,Smoking (Lighted Cigarette Butt),,Negative,Negative,SFO3 Macacabayao//SFO1 Tuburan/FO3 Batalla,Php200.00
TU,24 May 2022                       2152H,"B273L120 Aguila St., Target Range, Brgy. Pembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
TU,24 May 2022                       2203H,"Malvar St., cor A. Bonifacio St., Brgy. West Rembo",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
W,25 May 2022                       2127H,"817 JP Rizal St., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
TH,26 May 2022                      1941H,"B89 L28 Amarillo, Brgy Rizal, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"PhP20,000.00"
F,27 May 2022                      1935H,"151 Pili Ave., Brgy. West Rembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,Php500.00
SA,28 May 2022                      0517H,"6553 E. Ramos St., Brgy. Pio del Pilar, Makati City",2-Storey Residential-_Single and Two Family Dwelling/,Electrical Ignition caused ny arcing,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"Php30,000.00"
SA,28 May 2022                      1808H,"JP Rizal Extn. Cor. T. Alonzo St., Brgy. West Rembo, Makati City",Transport_Motorcycle,Battery Short Circuit/Battery Explosion,,Negative,Negative,SFO1 Pacubat/SFO1 Umnas,"Php10,000.00"
M,30 May 2022                      1128H,"Spicy Restaurant, G/F Manila Peninsula Hotel, Ayala cor. Makati Avenues, Brgy. Urdaneta, Makati City",Non_Residential/Assembly                 ,Open flame from Cooking (Stove),1st Alarm,Negative,Negative,SFO3 Macababayao/SFO1 Tuburan/AIFO3 Batalla,"PhP20,000.00"
M,31 May 2022                      2047H,"Sitio Mansanas, Brgy. West Rembo, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused ny arcing,,Negative,Negative,SFO3 Macababayao/SFO1 Tuburan/AIFO3 Batalla,Php500.00
M,31 May 2022                      2300H,"4210 Madras St., Brgy. Palanan, Makati City",Non_Structural/Electrical Post Fire/Meralco,Electrical Ignition caused ny arcing,,Negative,Negative,SFO3 Macababayao/SFO1 Tuburan/AIFO3 Batalla,Php500.00
F,01 April 2022                       1441H,"9038 San Nicolas St., Brgy. Guadalupe Nuevo, Makati City",2-Storey Residential-_Single and Two Family Dwelling/Elizabeth Duquilla-owner/Adrian Munoz-occupant,Overheated Home Appliance,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"Php5,000.00"
F,01 April 2022                       1827H,"G/F 106 Infinity Tower H.V. Dela Costa St. Bel-Air, Makati City",Non_Residential/Mercantile/32-Storey/The Wholesome Table Restaurant/Juan Elizarde-owner,Open flame from Cooking,1st Alarm,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"Php20,000.00"
SU,03 April 2022                       1014H,"J.P.Rizal St., Brgy. Olympia, Makati City",Non_ResidentialRamon ,Sparks from Machinery/Special Structure,,Negative,Negative,SFO1 Pacubat/FO1 Labuguen,"Php1,000.00"
TU,05 April 2022                       0834H,"Pertierra St., Brgy. Poblacion, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
W,06 April 2022                       0211H,"Kakarong St., Brgy. Sta. Cruz, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
TH,07 April 2022                       1407H,"Camino dela Fe St., Brgy. Guadalupe Nuevo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,Php500.00
TH,07 April 2022                       1816H,"Valero St., Cor. Sedeno St., Brgy. Bel-Air, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,PHP 500.00
TH,07 April 2022                       2104H,"Lugawan sa Tejeros, #5880 Malolos St., Brgy. Tejeros, Makati City",Non_Residential/Mercantile/,Open flame from Cooking,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,PHP 500.00
TH,07 April 2022                       2129H,"Emerald St., Brgy. Pembo, Makati City",Non_Structural/Post Fire/Meralco,Electrical Ignition caused ny loosed connection,,Negative,Negative,SFO3 Macacabayao/SFO1 Umnas/FO1 Parohinog,PHP 500.00
